date,horse_code,horse_id,horse_name,horse_number,incident,position_final,race_number
2024-06-15,J188,HK_2023_J188,GRACIOUS EXPRESS,3,Sent for sampling post-race.,2,6
2024-06-15,J393,HK_2023_J393,VICTOR THE RAPID,10,No report.,3,6
2024-06-15,D476,HK_2019_D476,IMA SINGLE MAN,1,Jumped only fairly.  Despite being ridden along in the early stages failed to show sufficient pace to hold a more forward position.,4,6
2024-06-15,J124,HK_2023_J124,GREAT STATE,4,Near the 900 Metres shifted out when being steadied away from AORAKI SUMMIT.,5,6
2024-06-15,J360,HK_2023_J360,MIGHTY COMMANDER,8,After the 1000 Metres got its head up when being steadied to allow CALL ME GLORIOUS to cross.  Continued to race keenly for some distance thereafter and near the 800 Metres got its head up again when being steadied to avoid GRACIOUS EXPRESS (B Avdulla) which shifted in when not clear.  B Avdulla was reprimanded.,6,6
2024-06-15,J300,HK_2023_J300,PRESTIGE ALWAYS,5,"Was fractious in the starting gates, jumped awkwardly and lost considerable ground.  Before being allowed to race again, PRESTIGE ALWAYS will be required to perform satisfactorily in a barrier trial.  A veterinary inspection immediately following the race found that horse to have sustained a small wound to the right hind leg.",7,6
2024-06-15,J191,HK_2023_J191,RICH HORSE,9,For some distance approaching the 700 Metres was steadied to avoid MIGHTY COMMANDER.,8,6
2024-06-15,G407,HK_2021_G407,PULSAR STRIDER,7,"Raced wide and without cover for the majority of the event.  Noted to have bled from both nostrils after the race.  As this was the second occasion that PULSAR STRIDER had bled, the horse is permanently barred from any further racing.",9,6
2024-06-15,H300,HK_2022_H300,AORAKI SUMMIT,6,"A veterinary inspection immediately following the race found that horse to have bled from both nostrils.  As this was the second occasion that AORAKI SUMMIT had bled, the horse is permanently barred from any further racing.",10,6
2024-06-15,E144,HK_2020_E144,ACA POWER,10,Jumped only fairly and then shortly after the start blundered when crowded between TOP SCORER which shifted out slightly and ROBOT KNIGHT which shifted in when being corrected by its rider.  Sent for sampling post-race.,1,7
2024-06-15,H464,HK_2022_H464,ROBOT KNIGHT,6,"Shifted in at the start and was bumped on the hindquarters.  When questioned, L Ferraris stated that the intention was to hold an on-pace position, however, when caught wide in the early stages he elected to continue to go forward to cross runners to his inside to avoid racing wide.  He added as a consequence ROBOT KNIGHT settled in a more forward position than what had been intended.  Sent for sampling post-race.",2,7
2024-06-15,J120,HK_2023_J120,TOP SCORER,2,Bumped shortly after the start.  Raced wide and without cover from the 700 Metres.  Sent for sampling post-race.,3,7
2024-06-15,H384,HK_2022_H384,HINOKAMI KAGURA,5,Bumped shortly after the start.  Crowded near the 750 Metres.,4,7
2024-06-15,J063,HK_2023_J063,CRAZY TREASURE,8,"Near the 300 Metres was steadied when crowded between ACA POWER and HINOKAMI KAGURA (H Bentley) which shifted out when not clear.  H Bentley was severely reprimanded.  After the race, M Chadwick stated that from a wide barrier he was instructed to ride his mount conservatively in the early stages.  Trainer M Newnham confirmed the instructions issued and stated that it was not the intention at its most recent start on 29 May 2024 to lead the event.",5,7
